delivery_route_id,order_id,distance_km,estimated_time_min
1,1,17.35,57
2,2,7.76,28
3,3,9.22,33
4,4,2.21,12
5,5,4.89,20
6,6,6.45,24
7,7,5.38,21
8,8,8.71,31
9,9,5.07,20
10,10,7.22,27
11,11,10.25,36
12,12,3.20,15
13,13,2.27,12
14,14,7.57,28
15,15,8.01,29
16,16,12.93,44
17,17,7.39,27
18,18,8.49,30
19,19,7.02,26
20,20,6.04,23
21,21,9.93,35
22,22,6.02,23
23,23,9.02,32
24,24,8.12,29
25,25,4.92,20
26,26,5.31,21
27,27,6.43,24
28,28,3.68,16
29,29,5.60,22
30,30,11.00,38
31,31,8.52,31
32,32,4.33,18
33,33,8.84,32
34,34,12.47,42
35,35,13.67,46
36,36,5.37,21
37,37,14.16,47
38,38,5.94,23
39,39,8.27,30
40,40,7.41,27
41,41,4.16,17
42,42,5.65,22
43,43,5.98,23
44,44,11.61,40
45,45,12.58,43
46,46,2.94,14
47,47,6.31,24
48,48,4.52,19
49,49,2.25,12
50,50,1.21,9
51,51,10.87,38
52,52,6.67,25
53,53,8.18,30
54,54,10.13,35
55,55,7.55,28
56,56,13.05,44
57,57,8.95,32
58,58,6.94,26
59,59,8.86,32
60,60,4.24,18
61,61,10.67,37
62,62,9.11,32
63,63,12.44,42
64,64,6.07,23
65,65,7.61,28
66,66,9.52,34
67,67,9.09,32
68,68,7.46,27
69,69,17.32,57
70,70,3.22,15
71,71,6.84,26
72,72,8.90,32
73,73,5.29,21
74,74,10.90,38
75,75,6.11,23
76,76,2.77,13
77,77,2.48,12
78,78,3.24,15
79,79,8.26,30
80,80,12.47,42
81,81,11.86,41
82,82,8.68,31
83,83,7.60,28
84,84,7.83,28
85,85,16.36,54
86,86,8.13,29
87,87,8.70,31
88,88,6.62,25
89,89,9.77,34
90,90,8.81,31
91,91,7.35,27
92,92,6.47,24
93,93,6.80,25
94,94,4.45,18
95,95,3.97,17
96,96,12.04,41
97,97,9.97,35
98,98,12.58,43
99,99,7.12,26
100,100,4.38,18
101,101,10.88,38
102,102,4.22,18
103,103,10.77,37
104,104,2.98,14
105,105,16.44,54
106,106,4.03,17
107,107,4.71,19
108,108,6.78,25
109,109,11.18,39
110,110,8.44,30
111,111,2.47,12
112,112,2.97,14
113,113,5.88,23
114,114,8.75,31
115,115,0.80,7
116,116,5.64,22
117,117,8.53,31
118,118,5.31,21
119,119,5.80,22
120,120,10.05,35
121,121,9.40,33
122,122,11.03,38
123,123,5.03,20
124,124,8.14,29
125,125,4.09,17
126,126,8.48,30
127,127,11.06,38
128,128,2.35,12
129,129,2.21,12
130,130,3.50,16
131,131,7.66,28
