restaurant_id,name,phone,address,latitude,longitude,status,rating
1,Sweet Kitchen Station,0931960984,60 Le Loi Street - District 10,10.797026,106.619626,OPEN,5.0
2,Green Kitchen Bar,0323108414,120 Nguyen Thi Minh Khai Street - District 1,10.737870,106.648408,OPEN,4.4
3,Red Garden Spot,0939874697,301 Tran Hung Dao Street - District 2,10.805486,106.616630,OPEN,4.6
4,Gourmet Bistro Table,0356145315,26 Le Duan Street - District 2,10.837432,106.615550,OPEN,4.7
5,Urban Corner Express,0976502106,109 Hai Ba Trung Street - District 1,10.831411,106.672936,OPEN,4.8
6,Sweet Palace Spot,0900176026,156 Nam Ky Khoi Nghia Street - District 5,10.830689,106.607271,OPEN,4.9
7,Crazy Diner Room,0322889584,123 Nguyen Hue Street - District 1,10.751625,106.692688,OPEN,4.1
8,Crazy Hub House,0910450440,223 Cach Mang Thang Tam Street - District 11,10.742895,106.613344,OPEN,4.9
9,Royal Lab House,0329599663,275 Hai Ba Trung Street - District 1,10.748469,106.673436,CLOSED,4.8
10,Green Eats House,0356234321,281 Dien Bien Phu Street - District 10,10.838919,106.716587,OPEN,4.4
11,Royal Bistro House,0910445946,34 Le Duan Street - District 1,10.788125,106.645791,OPEN,4.8
12,Crazy Hub Express,0912040151,307 Nam Ky Khoi Nghia Street - District 12,10.784947,106.622651,OPEN,5.0
13,Happy Palace Express,0912302518,118 Dien Bien Phu Street - District 1,10.781944,106.712101,OPEN,4.7
14,Green Corner Spot,0901934209,248 Nam Ky Khoi Nghia Street - District 8,10.825690,106.676335,OPEN,3.8
15,The Golden Corner Saigon,0972213318,121 Nguyen Hue Street - District 5,10.845785,106.659151,OPEN,5.0
16,Sweet Lab Bar,0327949105,95 Le Duan Street - District 9,10.752100,106.689419,OPEN,4.1
17,The Golden Garden Room,0938059662,123 Dien Bien Phu Street - District 2,10.812358,106.719886,OPEN,4.3
18,Gourmet Garden Spot,0971310923,250 Le Duan Street - District 10,10.754593,106.705027,OPEN,4.2
19,Royal Corner House,0931429620,287 Dien Bien Phu Street - District 11,10.751580,106.709158,OPEN,4.8
20,Royal Bistro Station,0933066164,21 Nguyen Thi Minh Khai Street - District 4,10.846786,106.623510,OPEN,4.3
21,Green Lab Table,0984176345,199 Cach Mang Thang Tam Street - District 7,10.743933,106.608496,OPEN,3.8
22,Happy Diner Station,0322359760,95 Le Loi Street - District 12,10.744729,106.714854,OPEN,4.7
23,Neon Diner Room,0917112868,184 Hai Ba Trung Street - District 12,10.751836,106.724902,OPEN,4.4
24,Green Corner Spot,0914112898,59 Nguyen Thi Minh Khai Street - District 7,10.786661,106.692605,OPEN,4.9
25,Royal Bistro House,0779944886,87 Nam Ky Khoi Nghia Street - District 6,10.784018,106.748662,OPEN,4.3
26,Neon Hub Bar,0776999086,201 Hai Ba Trung Street - District 7,10.838258,106.724331,OPEN,4.5
27,Crazy Grill Bar,0355790966,250 Nguyen Hue Street - District 3,10.767904,106.635194,OPEN,4.5
28,Happy Grill Table,0775591097,301 Le Duan Street - District 2,10.758401,106.703592,OPEN,3.8
29,Gourmet Palace Table,0919391686,213 Nguyen Thi Minh Khai Street - District 4,10.845009,106.685908,OPEN,4.8
30,Neon Corner Express,0917969671,96 Hai Ba Trung Street - District 11,10.800447,106.708446,OPEN,4.7
31,Happy Garden Bar,0357586058,140 Cach Mang Thang Tam Street - District 2,10.724333,106.603090,OPEN,3.9
32,Sweet Diner House,0977503099,177 Dien Bien Phu Street - District 10,10.844003,106.621469,OPEN,4.0
33,Urban Corner House,0975731623,101 Nguyen Hue Street - District 12,10.758774,106.743823,OPEN,5.0
34,The Golden Eats Express,0917506810,188 Le Duan Street - District 8,10.732221,106.636305,OPEN,4.9
35,Crazy Bistro Zone,0906588033,292 Cach Mang Thang Tam Street - District 1,10.779542,106.697908,OPEN,4.4
36,Urban Kitchen Bar,0900073831,234 Cach Mang Thang Tam Street - District 11,10.739582,106.625737,OPEN,4.5
37,Urban Palace Station,0770177019,199 Le Loi Street - District 8,10.783580,106.664835,OPEN,4.9
38,Royal Eats Bar,0327916071,195 Tran Hung Dao Street - District 1,10.805210,106.696280,OPEN,4.6
39,The Golden Eats Table,0985778809,166 Tran Hung Dao Street - District 10,10.808998,106.604753,OPEN,3.9
40,Green Garden Bar,0907729309,193 Nguyen Thi Minh Khai Street - District 1,10.806670,106.604299,OPEN,4.1
41,Gourmet Kitchen Zone,0772781024,281 Cach Mang Thang Tam Street - District 4,10.843511,106.688481,OPEN,4.0
42,Gourmet Bistro Express,0774118062,85 Le Duan Street - District 11,10.769297,106.658651,OPEN,4.2
43,The Golden Grill Spot,0988565908,304 Nam Ky Khoi Nghia Street - District 3,10.830886,106.721535,OPEN,4.2
44,Urban Bistro House,0975044158,325 Le Loi Street - District 3,10.816015,106.734852,OPEN,4.8
45,Gourmet Lab Table,0982537464,188 Nam Ky Khoi Nghia Street - District 5,10.840397,106.717178,OPEN,4.3
46,Neon Eats Saigon,0985384239,200 Hai Ba Trung Street - District 1,10.792671,106.625760,OPEN,4.0
47,The Golden Grill Spot,0932481265,69 Le Duan Street - District 8,10.814286,106.743496,OPEN,3.9
48,Sweet Grill Table,0906978280,111 Dien Bien Phu Street - District 1,10.803880,106.603791,CLOSED,4.4
49,Crazy Bistro House,0326867938,311 Dien Bien Phu Street - District 3,10.738236,106.719496,OPEN,4.6
50,Sweet Corner Bar,0779172555,332 Le Loi Street - District 8,10.774371,106.619651,OPEN,5.0
51,Red Hub Room,0937038384,339 Nguyen Hue Street - District 2,10.779845,106.685227,OPEN,4.3
52,Crazy Kitchen Zone,0918566204,248 Tran Hung Dao Street - District 9,10.790844,106.612597,OPEN,3.9
53,Neon Kitchen Bar,0352947134,310 Pasteur Street - District 2,10.810116,106.720927,OPEN,4.1
54,The Golden Palace Spot,0936605088,218 Cach Mang Thang Tam Street - District 12,10.729336,106.657217,OPEN,4.9
55,Red Garden Express,0976074865,55 Nguyen Thi Minh Khai Street - District 1,10.802949,106.740189,OPEN,4.8
56,Urban Hub Station,0973928283,140 Nam Ky Khoi Nghia Street - District 1,10.793094,106.721738,OPEN,4.3
57,Green Bistro Bar,0778546220,204 Nguyen Hue Street - District 5,10.747643,106.682158,OPEN,4.2
58,Crazy Palace Saigon,0320045520,174 Cach Mang Thang Tam Street - District 12,10.815955,106.712852,OPEN,4.1
59,Crazy Hub Express,0931933140,196 Cach Mang Thang Tam Street - District 1,10.789402,106.727739,OPEN,4.1
60,Happy Garden Bar,0974734564,213 Nam Ky Khoi Nghia Street - District 9,10.736234,106.732068,OPEN,4.9
61,Urban Hub Zone,0352132684,107 Hai Ba Trung Street - District 12,10.752859,106.714844,OPEN,4.5
62,Happy Kitchen Express,0907351290,96 Pasteur Street - District 1,10.746118,106.718591,OPEN,4.2
63,Happy Lab Zone,0989028473,107 Tran Hung Dao Street - District 9,10.803595,106.627647,OPEN,4.2
64,Neon Kitchen Room,0977859702,198 Le Duan Street - District 6,10.791574,106.603717,OPEN,4.6
65,Royal Diner Zone,0772292031,224 Nam Ky Khoi Nghia Street - District 9,10.842673,106.734877,OPEN,4.2
66,Neon Kitchen Bar,0908160190,131 Cach Mang Thang Tam Street - District 2,10.787758,106.601760,OPEN,4.9
67,Sweet Garden Spot,0771771520,279 Le Loi Street - District 1,10.779182,106.702120,OPEN,3.9
68,Neon Grill Saigon,0932686771,115 Nguyen Hue Street - District 8,10.834936,106.662493,OPEN,4.3
69,Happy Bistro Table,0321700259,130 Nguyen Hue Street - District 2,10.835779,106.603158,CLOSED,4.5
70,Sweet Diner Room,0776917052,233 Pasteur Street - District 12,10.849908,106.660121,CLOSED,4.0
71,Urban Hub Zone,0986910858,195 Dien Bien Phu Street - District 11,10.782252,106.605321,OPEN,4.6
72,Sweet Lab Station,0352503995,223 Pasteur Street - District 7,10.847948,106.643774,OPEN,3.8
73,Sweet Palace Station,0775320090,254 Hai Ba Trung Street - District 7,10.762080,106.603869,OPEN,4.1
74,Royal Eats House,0352902164,346 Pasteur Street - District 11,10.770243,106.624521,OPEN,4.9
75,Red Bistro Saigon,0777648310,122 Cach Mang Thang Tam Street - District 8,10.787007,106.630395,OPEN,4.4
76,Sweet Eats Express,0903034028,238 Dien Bien Phu Street - District 10,10.831847,106.723911,OPEN,3.8
77,Gourmet Bistro Table,0778049858,359 Le Loi Street - District 2,10.784618,106.610247,OPEN,4.5
78,Urban Kitchen Express,0777065190,89 Dien Bien Phu Street - District 2,10.765134,106.709035,OPEN,4.0
79,Royal Garden Table,0989788708,247 Dien Bien Phu Street - District 7,10.743930,106.743984,CLOSED,4.4
80,Urban Palace Room,0985121575,81 Nguyen Thi Minh Khai Street - District 9,10.753773,106.639116,OPEN,4.5
81,Red Hub Station,0974210621,104 Nguyen Thi Minh Khai Street - District 8,10.763989,106.637848,OPEN,4.0
82,Happy Hub Table,0358180947,329 Nam Ky Khoi Nghia Street - District 2,10.742193,106.748615,OPEN,4.5
83,Gourmet Garden Station,0939662451,83 Nguyen Hue Street - District 2,10.810466,106.708256,OPEN,4.7
84,Urban Garden House,0354422733,130 Le Duan Street - District 10,10.785572,106.641866,OPEN,4.7
85,Green Lab Zone,0323904170,208 Tran Hung Dao Street - District 12,10.765274,106.685327,OPEN,3.9
86,Crazy Palace Express,0973555961,185 Nam Ky Khoi Nghia Street - District 3,10.815323,106.724234,OPEN,4.2
87,Neon Grill House,0321369925,324 Le Loi Street - District 10,10.834187,106.690420,OPEN,4.2
88,Sweet Garden Zone,0932932540,171 Nam Ky Khoi Nghia Street - District 11,10.795094,106.694794,OPEN,4.5
89,Crazy Hub Express,0976307369,322 Tran Hung Dao Street - District 4,10.817460,106.612705,OPEN,4.4
90,Sweet Bistro Express,0973893370,256 Le Duan Street - District 12,10.812270,106.725536,OPEN,4.8
91,Green Diner Room,0358511290,295 Pasteur Street - District 6,10.778473,106.709751,OPEN,4.3
92,Neon Garden Zone,0902416150,380 Le Duan Street - District 4,10.779989,106.602090,CLOSED,3.8
