delivery_route_id,order_id,distance_km,estimated_time_min
1,1,10.66,32
2,2,14.91,46
3,3,13.75,43
4,4,12.10,36
5,5,1.77,6
6,6,5.43,17
7,7,13.52,43
8,8,10.34,34
9,9,10.68,33
10,10,12.84,42
11,11,2.16,6
12,12,4.57,15
13,13,1.86,5
14,14,6.60,21
15,15,12.96,41
16,16,1.11,7
17,17,2.85,11
18,18,7.33,25
19,19,14.63,46
20,20,5.12,16
21,21,10.06,31
22,22,14.36,46
23,23,14.70,47
24,24,6.59,23
25,25,13.61,40
26,26,7.48,24
27,27,14.28,42
28,28,9.97,30
29,29,3.48,14
30,30,8.35,27
31,31,1.37,7
32,32,11.91,37
33,33,8.81,26
34,34,6.75,21
35,35,8.59,25
36,36,11.95,36
37,37,9.67,32
38,38,5.66,17
39,39,5.44,20
40,40,4.50,17
41,41,14.43,45
42,42,3.30,9
43,43,5.65,17
44,44,5.65,16
45,45,2.20,8
46,46,2.64,10
47,47,10.79,32
48,48,9.34,31
49,49,12.89,42
50,50,12.18,38
51,51,14.36,46
52,52,5.57,16
53,53,10.74,36
54,54,4.59,14
55,55,12.14,40
56,56,6.32,22
57,57,3.16,10
58,58,9.05,27
59,59,2.96,12
60,60,1.49,6
61,61,13.93,43
62,62,9.58,32
63,63,7.98,23
64,64,5.06,19
65,65,7.47,24
66,66,5.75,20
67,67,2.14,6
68,68,5.16,16
69,69,14.98,48
70,70,1.57,7
71,71,4.11,13
72,72,10.42,32
73,73,14.22,42
74,74,3.00,12
75,75,14.12,45
76,76,8.47,26
77,77,13.14,43
78,78,15.00,44
79,79,10.93,33
80,80,10.82,36
81,81,8.51,28
82,82,1.76,6
83,83,13.16,43
84,84,9.01,31
85,85,2.19,9
86,86,6.40,23
87,87,14.04,45
88,88,5.12,15
89,89,5.22,18
90,90,5.04,18
91,91,12.75,41
92,92,10.87,33
93,93,12.32,37
94,94,3.86,12
95,95,2.48,7
96,96,4.53,16
97,97,12.67,38
98,98,3.83,14
99,99,8.66,27
100,100,5.30,16
101,101,11.08,34
102,102,13.86,43
103,103,11.26,34
104,104,8.07,28
105,105,9.02,31
106,106,4.13,14
107,107,2.54,8
108,108,8.59,29
109,109,14.55,47
110,110,9.57,28
111,111,13.44,43
112,112,11.21,37
113,113,12.62,40
114,114,2.11,10
115,115,6.34,22
116,116,4.46,15
117,117,9.63,29
118,118,8.04,28
119,119,2.85,9
120,120,5.18,16
121,121,7.66,23
122,122,10.41,33
123,123,2.85,9
124,124,3.22,10
125,125,8.10,25
126,126,2.40,8
127,127,5.58,20
128,128,10.73,32
129,129,13.36,41
130,130,3.46,11
131,131,5.06,16
132,132,9.60,31
133,133,2.78,9
134,134,12.64,41
135,135,3.08,9
136,136,12.71,42
137,137,2.23,8
138,138,9.44,31
139,139,4.77,15
140,140,7.42,26
141,141,8.01,28
142,142,12.55,37
143,143,10.08,31
144,144,14.17,46
145,145,12.58,38
146,146,3.53,10
147,147,3.56,14
148,148,12.27,40
149,149,12.56,37
150,150,7.13,22
151,151,7.75,23
152,152,7.45,23
153,153,5.46,16
154,154,8.77,26
155,155,10.21,31
156,156,14.88,45
157,157,1.43,6
158,158,14.08,45
159,159,5.29,17
160,160,3.76,14
161,161,5.38,16
162,162,3.36,12
163,163,1.71,6
164,164,14.03,46
165,165,6.86,21
166,166,4.47,14
167,167,9.97,31
168,168,5.09,15
169,169,8.50,25
170,170,12.05,40
171,171,2.25,9
172,172,9.96,29
173,173,3.85,13
174,174,3.96,11
175,175,2.08,9
176,176,5.66,20
177,177,1.56,7
178,178,7.90,26
179,179,5.42,17
180,180,10.87,35
181,181,6.36,23
182,182,13.51,43
183,183,6.36,19
184,184,4.35,17
185,185,9.16,27
186,186,13.55,44
187,187,5.66,20
188,188,11.15,35
189,189,1.48,5
190,190,3.57,10
191,191,2.68,9
192,192,13.29,41
193,193,12.34,41
194,194,12.57,38
195,195,4.08,15
196,196,9.05,27
197,197,1.27,7
198,198,4.00,15
199,199,1.82,6
200,200,2.74,10
201,201,1.97,7
202,202,3.37,12
203,203,10.68,36
204,204,7.85,25
205,205,5.10,19
206,206,9.78,31
207,207,12.10,38
208,208,5.58,18
209,209,1.61,6
210,210,6.98,23
211,211,1.51,7
212,212,5.08,16
213,213,9.14,31
214,214,6.44,21
215,215,3.81,11
216,216,14.51,47
217,217,3.22,9
218,218,4.57,14
219,219,13.10,40
220,220,8.33,27
221,221,3.19,12
222,222,12.47,37
223,223,4.86,14
224,224,7.22,22
225,225,3.81,15
226,226,9.53,29
227,227,4.54,15
228,228,12.36,39
229,229,2.13,7
230,230,8.49,26
231,231,6.30,19
232,232,10.54,33
233,233,12.43,41
234,234,5.85,19
235,235,5.96,18
236,236,3.22,12
237,237,14.44,45
238,238,8.93,28
239,239,10.43,33
240,240,4.06,16
241,241,5.84,20
242,242,13.84,41
243,243,11.93,39
244,244,8.93,27
245,245,7.50,22
246,246,9.74,30
247,247,9.40,28
248,248,3.24,13
249,249,10.88,32
250,250,1.55,8
251,251,6.38,20
252,252,10.83,34
253,253,13.78,42
254,254,4.96,15
255,255,7.00,23
256,256,11.64,34
257,257,11.99,36
258,258,10.94,36
259,259,3.34,14
260,260,9.24,31
261,261,12.82,39
262,262,12.46,39
263,263,3.81,13
264,264,10.66,35
265,265,3.01,9
266,266,3.51,13
267,267,10.53,31
268,268,1.04,3
269,269,7.38,22
270,270,12.49,41
271,271,14.05,43
272,272,11.41,36
273,273,7.30,24
274,274,1.89,9
275,275,12.18,36
276,276,14.70,48
277,277,8.67,26
278,278,5.03,15
279,279,4.58,17
280,280,13.86,42
281,281,5.21,18
282,282,3.66,13
283,283,5.84,17
284,284,5.43,20
285,285,9.27,31
286,286,7.45,26
287,287,14.34,46
288,288,13.71,42
289,289,11.16,36
290,290,2.03,6
291,291,1.47,6
292,292,1.19,6
293,293,14.58,43
294,294,14.76,47
295,295,12.33,39
296,296,9.28,30
297,297,12.52,37
298,298,1.03,5
299,299,7.72,23
300,300,10.62,33
301,301,14.63,43
302,302,6.68,24
303,303,14.28,44
304,304,5.98,21
305,305,8.04,26
306,306,4.97,14
307,307,2.28,10
308,308,2.06,8
309,309,5.87,20
310,310,12.45,40
311,311,2.60,11
312,312,8.42,29
313,313,6.97,20
314,314,8.24,27
315,315,4.82,18
316,316,10.38,31
317,317,1.57,7
318,318,10.55,34
319,319,14.99,48
320,320,5.50,20
321,321,6.61,22
322,322,1.79,8
