restaurant_id,name,address,rating
1,Royal Garden Express,132 Cach Mang Thang Tam Street - District 3,4.1
2,Crazy Grill Saigon,233 Cach Mang Thang Tam Street - District 1,4.4
3,The Golden Bistro House,188 Nguyen Thi Minh Khai Street - District 10,4.2
4,Sweet Lab Station,134 Nguyen Thi Minh Khai Street - District 7,4.0
5,Green Garden Station,153 Tran Hung Dao Street - District 12,4.8
6,Red Palace Bar,69 Le Duan Street - District 5,4.6
7,Green Palace House,235 Nguyen Hue Street - District 6,4.5
8,Gourmet Corner Table,69 Nguyen Hue Street - District 8,4.2
9,Royal Palace Room,146 Pasteur Street - District 12,4.0
10,Urban Eats Saigon,79 Tran Hung Dao Street - District 5,4.6
11,The Golden Grill House,129 Tran Hung Dao Street - District 8,4.5
12,Green Hub Room,306 Cach Mang Thang Tam Street - District 5,4.4
13,Gourmet Corner Bar,54 Nam Ky Khoi Nghia Street - District 4,4.4
14,Sweet Kitchen Bar,75 Hai Ba Trung Street - District 10,4.6
15,Red Eats Express,117 Pasteur Street - District 12,4.3
16,Happy Grill Spot,75 Cach Mang Thang Tam Street - District 4,4.5
17,The Golden Diner House,151 Hai Ba Trung Street - District 8,4.1
18,The Golden Bistro Station,291 Tran Hung Dao Street - District 4,3.9
19,Green Kitchen Spot,230 Hai Ba Trung Street - District 1,3.9
20,Green Hub Bar,249 Pasteur Street - District 6,4.1
21,Neon Lab Bar,177 Hai Ba Trung Street - District 8,4.3
22,Sweet Lab Zone,233 Cach Mang Thang Tam Street - District 4,4.7
23,Crazy Palace Zone,36 Pasteur Street - District 5,4.4
24,Gourmet Garden Spot,24 Hai Ba Trung Street - District 11,3.9
25,Neon Diner Zone,309 Dien Bien Phu Street - District 8,4.5
26,Crazy Corner Table,81 Le Duan Street - District 12,5.0
27,Red Garden House,121 Tran Hung Dao Street - District 10,4.1
28,The Golden Grill Station,84 Nguyen Hue Street - District 11,4.1
29,Urban Eats Table,104 Tran Hung Dao Street - District 4,4.1
30,Sweet Eats Station,70 Tran Hung Dao Street - District 1,4.5
31,Crazy Hub Table,221 Nguyen Thi Minh Khai Street - District 9,4.2
32,Urban Palace Express,124 Hai Ba Trung Street - District 2,4.1
33,Urban Corner Express,161 Cach Mang Thang Tam Street - District 4,4.2
34,Crazy Hub Table,304 Tran Hung Dao Street - District 2,3.9
35,Crazy Lab Station,75 Le Duan Street - District 3,4.5
36,The Golden Corner Spot,220 Dien Bien Phu Street - District 8,4.9
