simulation_run_id,total_orders,total_success,total_failed,duration_ms,lock_mechanism,err_double_assign,err_oversell,err_driver_overload
1,937,890,47,1827,NO_LOCK,0,0,0
2,524,510,14,1644,NO_LOCK,0,0,0
3,377,355,22,2525,NO_LOCK,0,0,0
4,663,645,18,1863,NO_LOCK,0,0,0
5,466,452,14,2889,NO_LOCK,0,0,0
6,356,325,31,2964,NO_LOCK,0,0,0
7,511,474,37,2815,NO_LOCK,0,0,0
8,377,353,24,2656,NO_LOCK,0,0,0
9,853,777,76,2686,NO_LOCK,0,0,0
10,874,795,79,2351,NO_LOCK,0,0,0
11,338,311,27,2295,NO_LOCK,0,0,0
12,881,812,69,1576,NO_LOCK,0,0,0
13,288,264,24,606,NO_LOCK,0,0,0
14,597,538,59,1534,NO_LOCK,0,0,0
15,209,198,11,2215,NO_LOCK,0,0,0
16,389,364,25,2885,NO_LOCK,0,0,0
17,418,393,25,2957,NO_LOCK,0,0,0
18,220,205,15,2910,NO_LOCK,0,0,0
19,474,447,27,2798,NO_LOCK,0,0,0
20,316,298,18,1298,NO_LOCK,0,0,0
21,100,0,100,160,NO_LOCK,0,0,0
22,100,0,100,670,SYNCHRONIZED,0,0,0
23,100,0,100,774,FILE_LOCK,0,0,0
24,100,0,100,100,OPTIMISTIC,0,0,0
25,100,0,100,215,NO_LOCK,0,0,0
26,100,0,100,703,SYNCHRONIZED,0,0,0
27,100,0,100,795,FILE_LOCK,0,0,0
28,100,0,100,131,OPTIMISTIC,0,0,0
29,100,27,73,290,NO_LOCK,0,0,1
30,100,50,50,687,SYNCHRONIZED,0,0,0
31,100,50,50,764,FILE_LOCK,0,0,0
32,100,3,97,109,OPTIMISTIC,0,0,0
